Document,Année de référence,Lien vers document,Nom court
3e stratégie nationale bas-carbone (provisoire),2023,https://www.ecologie.gouv.fr/politiques-publiques/3e-strategie-nationale-bas-carbone-snbc-3,SNBC
Plan national d'adaptation au changement climatique 2024,2023,https://www.ecologie.gouv.fr/sites/default/files/documents/PNACC3.pdf,PNACC
Stratégie nationale biodiversité 2030,2024,https://www.ecologie.gouv.fr/sites/default/files/documents/Doc-chapeau-SNB2030-HauteDef.pdf,SNB
Programmation pluriannuelle de l'énergie 2026-2035,2023,https://www.economie.gouv.fr/files/files/2026/ppe3.pdf?v=1770975902,PPE
Plan national de réduction des émissions de polluants atmosphériques 2022-2025,2023,https://www.ecologie.gouv.fr/presse/plan-national-reduction-emissions-polluants-atmospheriques-prepa-periode-2022-2025,PREPA
Loi anti-gaspillage pour une économie circulaire,2023,https://www.ecologie.gouv.fr/loi-anti-gaspillage-economie-circulaire,Loi AGEC
Loi de transition énergétique pour la croissance verte,2023,https://www.ecologie.gouv.fr/politiques-publiques/loi-transition-energetique-croissance-verte,LTECV
Règlement sur la restauration de la nature,2025,https://www.consilium.europa.eu/fr/press/press-releases/2024/06/17/nature-restoration-law-council-gives-final-green-light/,RRN
Objectifs des politiques prioritaires du Gouvernement,2023,,
Discours du Président de la République,2023,,
Loi sur l'eau et les milieux aquatiques,2023,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000649171,LEMA
Plan d’action pour une gestion résiliente et concertée de l’eau,2023,https://www.info.gouv.fr/grand-dossier/preservons-notre-ressource-en-eau/les-53-mesures-du-plan-eau,Plan eau
Décision d'exécution (UE) 2023/1623,2025,https://climate.ec.europa.eu/eu-action/transport-decarbonisation/road-transport/cars-and-vans_en?prefLang=fr,
Directive relative à la qualité des eaux destinées à la consommation humaine,2023,https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32020L2184,
Contrats de transition écologique de l'industrie,2023,https://presse.economie.gouv.fr/download?n=1370%20-%20SIGNATURE%20DES%20CONTRATS%20DE%20TRANSITION%20ECOLOGIQUE%20DE%20L%E2%80%99INDUSTRIE-pdf&id=123108,
"Stratégie nationale pour l’alimentation, la nutrition et le climat 2025/2030",2025,https://agriculture.gouv.fr/SNANC-20252030,SNANC
Plan national Agir pour restaurer la nature,2025,https://biodiversite.gouv.fr/le-plan-national-agir-pour-restaurer-la-nature,
Stratégie nationale de l'hydrogène décarboné 2025,2025,https://www.economie.gouv.fr/files/2025-04/strategie_nationale_hydrogene_decarbone_2025.pdf,
